HCPCS_CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION
L3334,Shoe lifts elevation heel /i,"Lift, elevation, heel, per inch"
L3340,Shoe wedge sach,"Heel wedge, sach"
L3350,Shoe heel wedge,Heel wedge
L3360,Shoe sole wedge outside sole,"Sole wedge, outside sole"
L3370,Shoe sole wedge between sole,"Sole wedge, between sole"
L3380,Shoe clubfoot wedge,Clubfoot wedge
L3390,Shoe outflare wedge,Outflare wedge
L3400,Shoe metatarsal bar wedge ro,"Metatarsal bar wedge, rocker"
L3410,Shoe metatarsal bar between,"Metatarsal bar wedge, between sole"
L3420,Full sole/heel wedge btween,"Full sole and heel wedge, between sole"
L3430,Sho heel count plast reinfor,"Heel, counter, plastic reinforced"
L3440,Heel leather reinforced,"Heel, counter, leather reinforced"
L3450,Shoe heel sach cushion type,"Heel, sach cushion type"
L3455,Shoe heel new leather standa,"Heel, new leather, standard"
L3460,Shoe heel new rubber standar,"Heel, new rubber, standard"
L3465,Shoe heel thomas with wedge,"Heel, thomas with wedge"
L3470,Shoe heel thomas extend to b,"Heel, thomas extended to ball"
L3480,Shoe heel pad & depress for,"Heel, pad and depression for spur"
L3485,Shoe heel pad removable for,"Heel, pad, removable for spur"
L3500,Ortho shoe add leather insol,"Orthopedic shoe addition, insole, leather"
L3510,Orthopedic shoe add rub insl,"Orthopedic shoe addition, insole, rubber"
L3520,O shoe add felt w leath insl,"Orthopedic shoe addition, insole, felt covered with leather"
L3530,Ortho shoe add half sole,"Orthopedic shoe addition, sole, half"
L3540,Ortho shoe add full sole,"Orthopedic shoe addition, sole, full"
L3550,O shoe add standard toe tap,"Orthopedic shoe addition, toe tap standard"
L3560,O shoe add horseshoe toe tap,"Orthopedic shoe addition, toe tap, horseshoe"
L3570,O shoe add instep extension,"Orthopedic shoe addition, special extension to instep (leather with eyelets)"
L3580,O shoe add instep velcro clo,"Orthopedic shoe addition, convert instep to velcro closure"
L3590,O shoe convert to sof counte,"Orthopedic shoe addition, convert firm shoe counter to soft counter"
L3595,Ortho shoe add march bar,"Orthopedic shoe addition, march bar"
L3600,Trans shoe calip plate exist,"Transfer of an orthosis from one shoe to another, caliper plate, existing"
L3610,Trans shoe caliper plate new,"Transfer of an orthosis from one shoe to another, caliper plate, new"
L3620,Trans shoe solid stirrup exi,"Transfer of an orthosis from one shoe to another, solid stirrup, existing"
L3630,Trans shoe solid stirrup new,"Transfer of an orthosis from one shoe to another, solid stirrup, new"
L3640,Shoe dennis browne splint bo,"Transfer of an orthosis from one shoe to another, dennis browne splint (riveton), both shoes"
L3649,Orthopedic shoe modifica nos,"Orthopedic shoe, modification, addition or transfer, not otherwise specified"
L3650,So 8 abd restraint pre ots,"Shoulder orthosis, figure of eight design abduction restrainer, prefabricated, off-the-shelf"
L3660,So 8 ab rstr can/web pre ots,"Shoulder orthosis, figure of eight design abduction restrainer, canvas and webbing, prefabricated, off-the-shelf"
L3670,So acro/clav can web pre ots,"Shoulder orthosis, acromio/clavicular (canvas and webbing type), prefabricated, off-the-shelf"
L3671,So cap design w/o jnts cf,"Shoulder orthosis, shoulder joint design, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3674,So airplane w/wo joint cf,"Shoulder orthosis, abduction positioning (airplane design), thoracic component and support bar, with or without nontorsion joint/turnbuckle, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3675,So vest canvas/web pre ots,"Shoulder orthosis, vest type abduction restrainer, canvas webbing type or equal, prefabricated, off-the-shelf"
L3677,So hard plas stabili pre cst,"Shoulder orthosis, shoulder joint design, without joints, may include soft interface, straps, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L3678,So hard plas stabili pre ots,"Shoulder orthosis, shoulder joint design, without joints, may include soft interface, straps, prefabricated, off-the-shelf"
L3702,Eo w/o joints cf,"Elbow orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3710,Eo elas w/metal jnts pre ots,"Elbow orthosis, elastic with metal joints, prefabricated, off-the-shelf"
L3720,Forearm/arm cuffs free motio,"Elbow orthosis, double upright with forearm/arm cuffs, free motion, custom fabricated"
L3730,Forearm/arm cuffs ext/flex a,"Elbow orthosis, double upright with forearm/arm cuffs, extension/ flexion assist, custom fabricated"
L3740,Cuffs adj lock w/ active con,"Elbow orthosis, double upright with forearm/arm cuffs, adjustable position lock with active control, custom fabricated"
L3760,Eo adj jt prefab custom fit,"Elbow orthosis (eo), with adjustable position locking joint(s), prefabricated, item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific  patient by an individual with expertise"
L3761,"Eo, adj lock joint prefab ot","Elbow orthosis (eo), with adjustable position locking joint(s), prefabricated, off-the-shelf"
L3762,Eo rigid w/o joints pre ots,"Elbow orthosis, rigid, without joints, includes soft interface material, prefabricated, off-the-shelf"
L3763,Ewho rigid w/o jnts cf,"Elbow wrist hand orthosis, rigid, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3764,Ewho w/joint(s) cf,"Elbow wrist hand orthosis, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3765,Ewhfo rigid w/o jnts cf,"Elbow wrist hand finger orthosis, rigid, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3766,Ewhfo w/joint(s) cf,"Elbow wrist hand finger orthosis, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3806,Whfo w/joint(s) custom fab,"Wrist hand finger orthosis, includes one or more nontorsion joint(s), turnbuckles, elastic bands/springs, may include soft interface material, straps, custom fabricated, includes fitting and adjustment"
L3807,Whfo w/o joints pre cst,"Wrist hand finger orthosis, without joint(s), prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L3808,"Whfo, rigid w/o joints","Wrist hand finger orthosis, rigid without joints, may include soft interface material; straps, custom fabricated, includes fitting and adjustment"
L3809,Whfo w/o joints pre ots,"Wrist hand finger orthosis, without joint(s), prefabricated, off-the-shelf, any type"
L3891,Torsion mechanism wrist/elbo,"Addition to upper extremity joint, wrist or elbow, concentric adjustable torsion style mechanism for custom fabricated orthotics only, each"
L3900,Hinge extension/flex wrist/f,"Wrist hand finger orthosis, dynamic flexor hinge, reciprocal wrist extension/ flexion, finger flexion/extension, wrist or finger driven, custom fabricated"
L3901,Hinge ext/flex wrist finger,"Wrist hand finger orthosis, dynamic flexor hinge, reciprocal wrist extension/ flexion, finger flexion/extension, cable driven, custom fabricated"
L3904,Whfo electric custom fitted,"Wrist hand finger orthosis, external powered, electric, custom fabricated"
L3905,Who w/nontorsion jnt(s) cf,"Wrist hand orthosis, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3906,Who w/o joints cf,"Wrist hand orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3908,Who cock-up nonmolde pre ots,"Wrist hand orthosis, wrist extension control cock-up, non molded, prefabricated, off-the-shelf"
L3912,Hfo flexion glove pre ots,"Hand finger orthosis (hfo), flexion glove with elastic finger control, prefabricated, off-the-shelf"
L3913,Hfo w/o joints cf,"Hand finger orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3915,Who nontorsion jnts pre cst,"Wrist hand orthosis, includes one or more nontorsion joint(s), elastic bands, turnbuckles, may include soft interface, straps, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L3916,Who nontorsion jnts pre ots,"Wrist hand orthosis, includes one or more nontorsion joint(s), elastic bands, turnbuckles, may include soft interface, straps, prefabricated, off-the-shelf"
L3917,Metacarp fx orthosis pre cst,"Hand orthosis, metacarpal fracture orthosis, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L3918,Metacarp fx orthosis pre ots,"Hand orthosis, metacarpal fracture orthosis, prefabricated, off-the-shelf"
L3919,Ho w/o joints cf,"Hand orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3921,Hfo w/joint(s) cf,"Hand finger orthosis, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3923,Hfo without joints pre cst,"Hand finger orthosis, without joints, may include soft interface, straps, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L3924,Hfo without joints pre ots,"Hand finger orthosis, without joints, may include soft interface, straps, prefabricated, off-the-shelf"
L3925,Fo pip dip jnt/sprng pre ots,"Finger orthosis, proximal interphalangeal (pip)/distal interphalangeal (dip), non torsion joint/spring, extension/flexion, may include soft interface material, prefabricated, off-the-shelf"
L3927,Fo pip dip no jt spr pre ots,"Finger orthosis, proximal interphalangeal (pip)/distal interphalangeal (dip), without joint/spring, extension/flexion (e.g., static or ring type), may include soft interface material, prefabricated, off-the-shelf"
L3929,Hfo nontorsion jnts pre cst,"Hand finger orthosis, includes one or more nontorsion joint(s), turnbuckles, elastic bands/springs, may include soft interface material, straps, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L3930,Hfo nontorsion jnts pre ots,"Hand finger orthosis, includes one or more nontorsion joint(s), turnbuckles, elastic bands/springs, may include soft interface material, straps, prefabricated, off-the-shelf"
L3931,Whfo nontorsion joint prefab,"Wrist hand finger orthosis, includes one or more nontorsion joint(s), turnbuckles, elastic bands/springs, may include soft interface material, straps, prefabricated, includes fitting and adjustment"
L3933,Fo w/o joints cf,"Finger orthosis, without joints, may include soft interface, custom fabricated, includes fitting and adjustment"
L3935,Fo nontorsion joint cf,"Finger orthosis, nontorsion joint, may include soft interface, custom fabricated, includes fitting and adjustment"
L3956,Add joint upper ext orthosis,"Addition of joint to upper extremity orthosis, any material; per joint"
L3960,Sewho airplan desig abdu pos,"Shoulder elbow wrist hand orthosis, abduction positioning, airplane design, prefabricated, includes fitting and adjustment"
L3961,Sewho cap design w/o jnts cf,"Shoulder elbow wrist hand orthosis, shoulder cap design, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3962,Sewho erbs palsey design abd,"Shoulder elbow wrist hand orthosis, abduction positioning, erb's palsey design, prefabricated, includes fitting and adjustment"
L3967,Sewho airplane w/o jnts cf,"Shoulder elbow wrist hand orthosis, abduction positioning (airplane design), thoracic component and support bar, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
